                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.3498,                 1.0431,                 1.1838,                0.68486,                0.48576,                0.56051,                0.35476,                 1.2755,                0.86466,                 1.1157,              0.0073765,              0.0073765,              0.0073765
                    108,                 1.3479,                  1.043,                 1.1833,                0.69069,                0.48338,                0.56106,                0.35508,                 1.2758,                0.86452,                 1.1157,              0.0073517,              0.0073517,              0.0073517
                    109,                 1.3481,                 1.0411,                 1.1829,                0.68652,                0.48637,                0.56094,                0.35462,                 1.2758,                0.86451,                 1.1156,               0.007327,               0.007327,               0.007327
                    110,                 1.3464,                 1.0397,                 1.1826,                 0.6925,                0.48572,                0.56161,                0.35511,                 1.2757,                0.86396,                 1.1156,              0.0073023,              0.0073023,              0.0073023
                    111,                 1.3471,                 1.0413,                 1.1819,                0.69044,                0.48546,                0.56177,                 0.3553,                 1.2756,                0.86333,                 1.1153,              0.0072775,              0.0072775,              0.0072775
                    112,                 1.3481,                 1.0411,                 1.1824,                 0.6867,                0.48781,                0.56103,                0.35516,                 1.2753,                0.86297,                  1.115,              0.0072527,              0.0072527,              0.0072527
                    113,                 1.3478,                 1.0408,                  1.182,                0.68549,                0.48764,                0.56139,                0.35544,                 1.2749,                0.86267,                 1.1146,               0.007228,               0.007228,               0.007228
                    114,                 1.3469,                 1.0386,                 1.1821,                0.67914,                0.49212,                0.56237,                0.35587,                 1.2745,                0.86233,                 1.1143,              0.0072033,              0.0072033,              0.0072033
                    115,                 1.3454,                 1.0382,                 1.1827,                0.68303,                0.49048,                0.56283,                 0.3562,                 1.2742,                0.86206,                 1.1141,              0.0071785,              0.0071785,              0.0071785
                    116,                 1.3476,                 1.0402,                 1.1823,                0.68196,                0.48915,                0.56267,                0.35597,                  1.274,                0.86199,                 1.1139,              0.0071538,              0.0071538,              0.0071538
                    117,                 1.3477,                 1.0378,                 1.1814,                 0.6807,                0.48945,                 0.5626,                0.35628,                 1.2738,                0.86165,                 1.1135,               0.007129,               0.007129,               0.007129
                    118,                 1.3472,                  1.038,                 1.1815,                0.68035,                0.48947,                0.56279,                 0.3563,                 1.2737,                0.86161,                 1.1134,              0.0071042,              0.0071042,              0.0071042
                    119,                 1.3473,                 1.0378,                 1.1818,                0.68436,                0.49019,                0.56292,                0.35607,                 1.2736,                0.86147,                 1.1134,              0.0070795,              0.0070795,              0.0070795
                    120,                 1.3449,                 1.0357,                 1.1799,                0.68809,                0.48855,                 0.5624,                0.35589,                 1.2733,                0.86116,                 1.1131,              0.0070547,              0.0070547,              0.0070547
                    121,                 1.3456,                 1.0376,                 1.1808,                0.68737,                 0.4892,                0.56289,                0.35611,                 1.2732,                0.86105,                  1.113,                0.00703,                0.00703,                0.00703
                    122,                 1.3435,                  1.035,                 1.1798,                0.68264,                0.49059,                0.56319,                 0.3562,                 1.2733,                0.86061,                 1.1128,              0.0070053,              0.0070053,              0.0070053
                    123,                 1.3449,                 1.0357,                 1.1806,                0.68065,                0.49128,                0.56303,                 0.3565,                 1.2732,                0.86012,                 1.1127,              0.0069805,              0.0069805,              0.0069805
                    124,                 1.3437,                 1.0359,                 1.1794,                0.67863,                0.49099,                0.56254,                0.35641,                 1.2731,                0.85987,                 1.1128,              0.0069558,              0.0069558,              0.0069558
                    125,                 1.3439,                 1.0338,                  1.178,                0.67782,                0.49149,                0.56289,                0.35666,                 1.2731,                0.85967,                 1.1125,               0.006931,               0.006931,               0.006931
                    126,                 1.3431,                 1.0338,                 1.1796,                0.67122,                0.49333,                 0.5629,                0.35672,                 1.2729,                0.85945,                 1.1124,              0.0069063,              0.0069063,              0.0069063
                    127,                 1.3448,                 1.0357,                 1.1786,                0.67492,                0.49296,                0.56365,                0.35714,                 1.2726,                0.85935,                  1.112,              0.0068815,              0.0068815,              0.0068815
                    128,                 1.3426,                 1.0329,                 1.1787,                0.68043,                0.49091,                0.56433,                0.35722,                 1.2723,                 0.8591,                 1.1119,              0.0068568,              0.0068568,              0.0068568
                    129,                 1.3444,                 1.0353,                 1.1802,                0.67564,                0.49225,                0.56446,                0.35765,                 1.2721,                0.85867,                 1.1118,               0.006832,               0.006832,               0.006832
                    130,                 1.3421,                 1.0313,                 1.1779,                0.67914,                0.49136,                0.56408,                0.35738,                  1.272,                 0.8582,                 1.1117,              0.0068073,              0.0068073,              0.0068073
                    131,                 1.3432,                 1.0319,                 1.1783,                0.69066,                0.48775,                0.56474,                0.35804,                  1.272,                  0.858,                 1.1116,              0.0067825,              0.0067825,              0.0067825
                    132,                 1.3421,                 1.0327,                 1.1785,                0.68444,                0.49086,                0.56462,                0.35805,                 1.2718,                0.85805,                 1.1116,              0.0067577,              0.0067577,              0.0067577
                    133,                 1.3406,                 1.0299,                 1.1765,                 0.6821,                0.49013,                0.56418,                0.35833,                 1.2713,                0.85803,                 1.1113,               0.006733,               0.006733,               0.006733
